bibcodes,Total_Read,Total_Download,Total_Citation,Year,DOI
2024MNRAS.533..687R,68,29,0,2024,10.1093/mnras/stae1778
2024JPhG...51i5201K,14,5,0,2024,10.1088/1361-6471/ad616f
2024arXiv240812938B,27,12,0,2024,10.48550/arXiv.2408.12938
2024arXiv240803731B,69,28,0,2024,10.48550/arXiv.2408.03731
2024arXiv240803368G,42,25,0,2024,10.48550/arXiv.2408.03368
2024arXiv240802171H,68,28,0,2024,10.48550/arXiv.2408.02171
2024arXiv240801033Z,21,12,0,2024,10.48550/arXiv.2408.01033
2024PhRvC.110b4313R,1,0,0,2024,10.1103/PhysRevC.110.024313
2024ApJ...971..158R,132,81,1,2024,10.3847/1538-4357/ad57bf
2024ApJ...971...35Y,128,62,0,2024,10.3847/1538-4357/ad5722
2024ApJ...970L..30X,84,40,0,2024,10.3847/2041-8213/ad5ffd
2024ApJ...970..105H,104,53,0,2024,10.3847/1538-4357/ad500c
2024A&A...688A.123X,127,75,0,2024,10.1051/0004-6361/202449376
2024arXiv240720701H,95,36,0,2024,10.48550/arXiv.2407.20701
2024arXiv240706739S,78,36,1,2024,10.48550/arXiv.2407.06739
2024arXiv240705004P,62,25,0,2024,10.48550/arXiv.2407.05004
2024PhRvL.133e2702C,6,5,0,2024,10.1103/PhysRevLett.133.052702
2024PhRvC.110a5801S,7,5,0,2024,10.1103/PhysRevC.110.015801
2024PhLB..85438740O,8,4,0,2024,10.1016/j.physletb.2024.138740
2024MNRAS.532..211H,7,4,0,2024,10.1093/mnras/stae1523
2024MNRAS.531.4293G,58,27,1,2024,10.1093/mnras/stae1381
2024ApJS..273...12H,184,98,9,2024,10.3847/1538-4365/ad4a6f
2024A&A...687A.229M,129,71,1,2024,10.1051/0004-6361/202449816
2024A&A...687A.199L,5,0,0,2024,10.1051/0004-6361/202449536
2024NatAs.tmp..189H,105,46,0,2024,10.1038/s41550-024-02309-5
2024MNRAS.530.4712A,125,73,0,2024,10.1093/mnras/stae670
2024ApJ...968L..24X,60,35,0,2024,10.3847/2041-8213/ad5205
2024A&A...686L...8R,72,43,0,2024,10.1051/0004-6361/202449994
2024arXiv240506470A,74,36,1,2024,10.48550/arXiv.2405.06470
2024PhRvL.132r2701H,17,11,0,2024,10.1103/PhysRevLett.132.182701
2024PhRvC.109e4608G,1,1,0,2024,10.1103/PhysRevC.109.054608
2024NIMPA106269158N,5,4,0,2024,10.1016/j.nima.2024.169158
2024MNRAS.530.2512L,358,185,7,2024,10.1093/mnras/stae969
2024ApJS..272...20A,151,78,1,2024,10.3847/1538-4365/ad3641
2024ApJ...966L..27C,145,70,0,2024,10.3847/2041-8213/ad3bb4
2024ApJ...966...11P,125,57,3,2024,10.3847/1538-4357/ad2dfb
2024MNRAS.529.2191B,139,73,2,2024,10.1093/mnras/stae613
2024MNRAS.529.1917S,176,105,3,2024,10.1093/mnras/stae255
2024ApJS..271...41X,228,83,4,2024,10.3847/1538-4365/ad24fa
2024arXiv240305442C,21,9,0,2024,10.48550/arXiv.2403.05442
2024PhRvC.109c5806W,16,9,1,2024,10.1103/PhysRevC.109.035806
2024MNRAS.529L..60M,174,78,2,2024,10.1093/mnrasl/slad197
2024ApJS..271...26L,75,49,2,2024,10.3847/1538-4365/ad1eea
2024PhRvL.132f2702D,24,19,0,2024,10.1103/PhysRevLett.132.062702
2024MNRAS.528.2912M,251,131,9,2024,10.1093/mnras/stad3925
2024MNRAS.528.1393S,563,294,8,2024,10.1093/mnras/stad3020
2024ApJ...961L..41J,625,290,9,2024,10.3847/2041-8213/ad19c4
2024PhRvC.109a4318R,4,1,1,2024,10.1103/PhysRevC.109.014318
2024MNRAS.527.8973C,364,178,7,2024,10.1093/mnras/stad3674
2024MNRAS.527.8118K,161,74,2,2024,10.1093/mnras/stad3595
2024MNRAS.527..828S,137,82,0,2024,10.1093/mnras/stad3199
2024ApJ...960...14D,122,81,0,2024,10.3847/1538-4357/ad0a67
2023Sci...382.1177R,251,134,10,2023,10.1126/science.adf1341
2023PhRvC.108f1601B,9,1,0,2023,10.1103/PhysRevC.108.L061601
2023MNRAS.526.6274G,240,133,3,2023,10.1093/mnras/stad3178
2023MNRAS.526.2365B,214,92,3,2023,10.1093/mnras/stad2888
2023EPJA...59..302P,49,25,0,2023,10.1140/epja/s10050-023-01206-1
2023CmPhy...6..106T,14,12,3,2023,10.1038/s42005-023-01221-0
